timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740377360000,484,HTTP Request,200,OK,Users 1-9,text,true,,9832,117,20,20,http://www.httpbin.org/,484,0,237
1740377360353,312,HTTP Request,200,OK,Users 1-7,text,true,,9832,117,20,20,http://www.httpbin.org/,311,0,0
1740377360218,484,HTTP Request,200,OK,Users 1-13,text,true,,9832,117,20,20,http://www.httpbin.org/,484,0,240
1740377360999,244,HTTP Request,200,OK,Users 1-13,text,true,,9832,117,20,20,http://www.httpbin.org/,244,0,0
1740377360858,479,HTTP Request,200,OK,Users 1-17,text,true,,9832,117,20,20,http://www.httpbin.org/,479,0,238
1740377361155,483,HTTP Request,200,OK,Users 1-18,text,true,,9832,117,20,20,http://www.httpbin.org/,483,0,238
1740377361572,241,HTTP Request,200,OK,Users 1-7,text,true,,9832,117,20,20,http://www.httpbin.org/,240,0,0
1740377361422,480,HTTP Request,200,OK,Users 1-20,text,true,,9832,117,20,20,http://www.httpbin.org/,480,0,238
1740377361839,241,HTTP Request,200,OK,Users 1-19,text,true,,9832,117,20,20,http://www.httpbin.org/,240,0,0
1740377361909,243,HTTP Request,200,OK,Users 1-18,text,true,,9832,117,20,20,http://www.httpbin.org/,243,0,0
1740377362004,239,HTTP Request,200,OK,Users 1-5,text,true,,9832,117,20,20,http://www.httpbin.org/,239,0,0
1740377362097,253,HTTP Request,200,OK,Users 1-1,text,true,,9832,117,20,20,http://www.httpbin.org/,253,0,0
1740377361902,512,HTTP Request,200,OK,Users 1-4,text,true,,9832,117,20,20,http://www.httpbin.org/,260,0,0
1740377361942,627,HTTP Request,200,OK,Users 1-12,text,true,,9832,117,20,20,http://www.httpbin.org/,627,0,0
1740377362349,242,HTTP Request,200,OK,Users 1-15,text,true,,9832,117,20,20,http://www.httpbin.org/,240,0,0
1740377362117,785,HTTP Request,200,OK,Users 1-8,text,true,,9832,117,20,20,http://www.httpbin.org/,784,0,234
1740377363099,244,HTTP Request,200,OK,Users 1-13,text,true,,9832,117,20,20,http://www.httpbin.org/,243,0,0
